Host Id;Host Since;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating
24448775;2014-12-03T00:00:00Z;1 private bedroom in Williamsburg;Brooklyn;Apartment;100;Private room;11206;1;1;2;80;100
24500940;2014-12-04T00:00:00Z;Lovely Studio next to Park/Subway;Brooklyn;Apartment;90;Entire home/apt;11218;2;1;9;95;93
24482680;2014-12-04T00:00:00Z;Private BR in Convenient Bk;Brooklyn;Apartment;90;Private room;11211;1;1;2;65;90
24486514;2014-12-04T00:00:00Z;Huge, beautiful bedroom;Brooklyn;Apartment;100;Private room;11222;1;1;1;70;100
24517002;2014-12-05T00:00:00Z;Large room in Williamsburg;Brooklyn;Apartment;100;Private room;11211;1;1;1;50;100
24514392;2014-12-05T00:00:00Z;Cozy Room in Luxury Apartment in BK;Brooklyn;Apartment;100;Private room;11221;3;1;1;75;100
24541528;2014-12-06T00:00:00Z;Levite Alms' haven2 in Brooklyn, NY;Brooklyn;Apartment;95;Entire home/apt;11207;1;1;12;67;95
24555785;2014-12-06T00:00:00Z;Luxury Apt in Artsy Bushwick;Brooklyn;Apartment;100;Private room;11221;1;1;1;73;100
24559370;2014-12-06T00:00:00Z;Big bedroom with private bath;Brooklyn;Apartment;100;Private room;11221;1;1;2;60;100
24633417;2014-12-08T00:00:00Z;Cozy Room in Greenpoint Brooklyn;Brooklyn;Apartment;95;Private room;11222;1;1;14;60;97
24635658;2014-12-08T00:00:00Z;Mama Carmen's;Brooklyn;Apartment;100;Private room;11237;1;1;1;60;100
24677844;2014-12-09T00:00:00Z;1 Bedroom in the Heart of Brooklyn;Brooklyn;Apartment;90;Private room;11213;2;1;5;86;92
24661086;2014-12-09T00:00:00Z;Bedroom in Greenpoint;Brooklyn;Apartment;100;Private room;11222;1;1;2;42;100
24642400;2014-12-09T00:00:00Z;Nice Bedroom in Prospect Heights;Brooklyn;Apartment;100;Private room;11238;1;1;2;95;100
24666317;2014-12-09T00:00:00Z;Spacious Room in Clinton Hill;Brooklyn;Apartment;100;Private room;11238;1;1;1;70;100
24704827;2014-12-10T00:00:00Z;South side Williamsburg Private BR;Brooklyn;Apartment;100;Private room;11211;1;1;10;85;100
24707177;2014-12-10T00:00:00Z;Spacious Room in Brooklyn;Brooklyn;Apartment;90;Private room;11213;1;1;3;45;90
24691848;2014-12-10T00:00:00Z;Brooklyn Museum, Airbed!;Brooklyn;Apartment;95;Shared room;NA;1;1;10;49;98
24737440;2014-12-11T00:00:00Z;Brooklyn Bedroom 8 Min From City;Brooklyn;Apartment;90;Private room;11211;1;1;29;69;90
